name,address
Anacardium occidentale,Mukoloso 
Hyphaene compressa,Mukoma 
Vangueria apiculata,Mukomoa 
Vangueria infausta,Mukomoa 
Vangueria madagascariensis,Mukomoa 
Vangueria volkensii,Mukomoa 
Diospyros abyssinica,Mukongo 
Ekebergia capensis,Mukongu 
Diospyros mespiliformis,Mukoo 
Uvaria scheffleri,Mukukuma
Macaranga kilimandscharica,Mukulati
Flueggea virosa,Mukululu (Mwingi) 
Gardenia volkensii,Mukumuti
Gardenia ternifolia,Mukumuti 
Acacia brevispica,Mukuswi
Euclea divinorum,Mukuthi (Machakos: Mwala)
Junisperus procera,Mukuu
Ficus sycomorus,Mukuyu 
Ficus sur,Mukuyu 
Acokanthera oppositifolia,Mukweo 
Acacia tortilis,Mulaa
Tithonia diversifolia,Mulaa 
Garcinia volkensii,Mulaliondo 
Zanthoxylum usambarense,Mulasi
Grewia bicolor,Mulawa
Balanites aegyptiaca,Mulului
Elaeodendron buchananii,Mulundu
Clerodendrum eriophyllum,Mumbumbwa
Strychnos spinosa,Mumee (Machakos) 
Vitex payos,Mumuu
Maerua decumbens,Munatha 
Cocos nucifera,Munathi 
Populus ilicifolia,Mungai 
Acacia elatior,Munina 
Faurea saligna,Munyangati
Pavetta abyssinica,Munyenyo
Pavetta crassipes,Munyenyo
Sesbania sesban,Munyongo
Acacia mearnsii,Munyoonyoo
Senna singueana,Munyunga nai
Pistacia aethiopica,Musaa
Trichilia emetica,Musambo 
Eucalyptus camaldulensis,Musanduku
Acacia nilotica,Musemei(Machako) 
Acacia nilotica,Musemeli (Kitui) 
Acacia xanthophloea,Musewa
Acacia polycantha,Musewa (Kitui)
Crotalaria agatiflora,Musili
Eucalyptus saligna,Musilikina
Rauvolfia mannii,Musua ndui
Cajanus cajan,Musuu  
Alibizia gummifera,Musya 
Capparis tomentosa,Mutandamboo 
Clerodendrum johnstonii,Muteangwai
Strychnos henningsii,Muteta 
Vangueria infausta,Muteteli 
Lannea triphylla,Muthaalwa 
Olea europaea,Muthata 
Cordia monoica,Muthei
Cordia sinensis,Muthei munini 
Rhus vulgaris,Mutheu
Rhus tenuinervis,Mutheu 
Rhus natalensis,Mutheu 
Rhus vulgaris,Mutheu munene
Craibia brownii,Muthi 
Acacia gerrardii,Muthi 
Lippia kituiensis,Muthieti 
Acacia mellifera,Muthiia 
Lippia javanica,Muthiiti 
Crotalaria goodiiformis,Muthilia 
Ormocarpum kirkii,Muthingii 
Ormocarpum trachycarpum,Muthingii 
Acacia elatior,Muthithiu 
Dodonaea viscosa,Muthongoi 
Cassipourea celastroides,Muthongoli 
Croton megalocarpus,Muthulu 
Clausena anisata,Muthungwa 
Populus ilicifolia,Muti woosi 
Strombosia scheffleri,Mutianzunu 
Prunus africana,Mutimailu 
Craibia brownii,Mutisi 
Combretum collinum,Mutithi
Annona muricata,Mutomoko
Annona cherimola,Mutomoko 
Annona senegalensis,Mutomoko wa kitheka 
Thespesia garckean,Mutoo
Dombeya kirkii,Mutoo 
Terminalia prunioides,Mutoo 
Dombeya rotundifolia,Mutoo 
Carissa spinarum,Mutote (Kitui) 
Tecleasimplicifolia,Mutuiu 
Terminalia spinosa ,Mutula
Ximenia americana,Mutula 
Trichilia emetica,Mutuluku
Annona muricata,Mutumoko
Croton macrostachyus,Mutundu
Grewia tembensis,Mutuva
Grewia similis,Mutuva wa kiima(Machakos)
Brachylaena huillensis,Muu
Nuxia congesta,Muu
Vitex payos,Muu (fruit)
Brachylaena huillensis,Muuku
Terminalia kilimandscharica,Muuku
Terminalia brownii,Muuku
Clerodendrum eriophyllum,Muumbwa
Erythrina burtii,Muusi
Sterculia africana,Muusya
Sclerocarya birrea,Muuw'a
Acokanthera oppositifolia,Muvai wango
Dombeya kirkii,Muvau
Dombeya burgessiae,Muvau
Dombeya rotundifolia,Muvau
Pavetta crassipes,Muvembe
Pavetta abyssinica,Muvembe
Podocarpus latifolia,Muvengea
Dichrostachys cinerea,Muvilisya
Dalbergia melanoxylon,Muvingo
Plectranthus barbatus,Muvou
Grewia villosa,Muvu 
Syzygium cordatum,Muvuena
Syzygium cordatum,Muvueni
Syzygium guineense,Muvueni
Milicia excelsa            ,Muvuli          
Zanthoxylum usambarense,Muvulu
Opilia campestris,Muvuluvulu
Opilia amentacea,Muvuluvulu
Brachylaena huillensis,Muvumba
Erythrina abyssinica,Muvuti
Cordia africana,Muvutu
Zanthoxylum usambarense,Muvuu
Caesalpinia volkensii,Muvuu
Clerodendrum myricoides,Muvweia
Adansonia digitata,Mwaamba
Bridelia taitensis,Mwaanzia
Ricinus communis,Mwaiki
Entada leptostachya,Mwaitha
Euclea divinorum,Mwala (Machakos)
Cassia abbreviata,Mwathandathe
Acacia kirkii,Mwea
Acacia xanthophloea,Mwea
Acacia polyacantha,Mwelele
Lannea schweinfurthii,Mwethi
Albizia gummifera,Mwethia
Acacia seyal,Mweya
Acacia xanthophloea,Mweya
Pavetta gardeniifolia,Mwithongoi
Cassipourea celastroides,Mwiyumbi
Plectranthus barbatus,Mwooya
Albizia anthelmintica,Mwowa
Plectranthus barbatus,Mwoya
Adansonia digitata,Namba
Morus alba,Ndae
Rubus pinnatus,Ndae 
Euphorbia tirucalli,Ndau
Grewia bicolor,Ndawa 
Antidesma venosum,Ndelanthia (fruit)
Phoenix dactylifera,Ndende (fruit)
Carissa spinarum,Ndote (fruit)
Ximenia americana,Ndula 
Balanites aegyptiaca,Ndului (fruit)
Lannea alata,Ndungu (fruit)
Commiphora africana,Ndungu (fruit)
Grewia tembensis,Nduva (fruit)
Garcinia livingstonei,Ngaanga kanywa (fruit)
Carissa spinarum,Ngaawa (fruit)
Antidesma venosum,Ngala
Grewia bicolor,Ngalawa (fruit)
,
Grewia bicolor,Ngalwa (fruit)
Dovyalis abyssinica,Ngambua (fruit)
Dovyalis caffra,Ngambua (fruit)
,
,
Euclea divinorum,Nginyai (fruit)
,
Anacardium occidentale,Ngoloso (fruit)
,
Lannea alata,Ngolya (fruit)
,
Vangueria madagascariensis,Ngomoa (fruit) 
Uvaria scheffleri,Ngukuma (fruit)
Tamarindus indica,Ngwasu (fruit)
Acokanthera oppositifolia,Ngweo (fruit)
Cordia monoica,Nthei (fruit)
Rhus natalensis,Ntheu (fruit)
Rhus vulgaris,Ntheu (fruit)
Lannea schimperi,Nthoona (fruit)
Croton megalocarpus,Nthulu (fruit)
Tamarindus indica,Nthumula (fruit)
Lannea triphylla,Nzaala (fruit)
Berchemia discolor ,Nzaaya (fruit)
Berchemia discolor ,Nzanawa (fruit)
Tamarix nilotica,Nzinzinda
Tamarindus indica ,Nzumula (fruit)
Carissa spinarum ,"Nzunu (fruit, Kitui)  "
Cajanus cajan,Nzuu (fruit) 
Kedrostis gijef,Witulu
Calodendrum capense,Yangu
Ensete ventricosum,lkulutui
Albizia glaberrima,lsavi
Combretum collinum,ltithi
Crotalaria agatiflora,lviinzi
